study,cohort,index,w0_ba,w05_ba,w03_ba,w07_ba,E_mean_ba,E_vote_ba,w0_f1,w05_f1,w03_f1,w07_f1,E_mean_f1,E_vote_f1
partition,PD-252,10,0.7140469416785207,0.7070330451909399,0.7375287230550388,0.7073065980960718,0.7147253528832476,0.7120226501805449,0.7143383857905914,0.7196042181997052,0.7459378634996622,0.7249454132365526,0.7266985731201471,0.7223646156969449
partition,PD-252,11,0.7079065908013277,0.703048291206186,0.703048291206186,0.7033218441113178,0.7056798701535543,0.7056798701535543,0.7194513326232119,0.7214946885317275,0.7214946885317275,0.7245398814697037,0.7251522940840699,0.7251522940840699
partition,PD-252,12,0.7278531568005253,0.7094694897326477,0.7299148338622024,0.6989805595068753,0.7094694897326477,0.7094694897326477,0.7378407664036953,0.7219097581797811,0.7408819548646042,0.7163498771566544,0.7219097581797811,0.7219097581797811
partition,PD-252,13,0.7235164314111683,0.726837363679469,0.7057737899843163,0.7155049786628733,0.7215030820293978,0.718800379326695,0.7271905602185416,0.7397926721418377,0.7119216096287054,0.7326620209059234,0.7294590009783724,0.7255179268318187
partition,PD-252,14,0.7609092898566583,0.7402277783856731,0.75298081482292,0.7122323740744794,0.7452885071306125,0.7452885071306125,0.763084907180477,0.7542709240210905,0.7644421432305023,0.7260295925780047,0.7579194148218089,0.7579194148218089
partition,PD-252,15,0.7282999598789073,0.7264179158916001,0.7391709523288471,0.7343837764890397,0.7187256081992924,0.7187256081992924,0.7244984155407386,0.7323789103674644,0.7458029958729853,0.7443633229144518,0.7268355990738025,0.7268355990738025
partition,PD-252,16,0.7075619141408616,0.7157302038880986,0.715527774738301,0.7080378961957909,0.7181593536856694,0.720790932633038,0.7084494935084148,0.7256889955094715,0.7203876660474376,0.7195200228567344,0.7230946915480789,0.72738229088831
partition,PD-252,17,0.7223766276397855,0.7202210307473466,0.7380347959295328,0.6947149578728526,0.7118876974140134,0.735605646131962,0.7293608157599385,0.7322940104166953,0.7463861712912057,0.7094879744840306,0.7233342113927661,0.7462129267406461
partition,PD-252,18,0.7372515227778386,0.7161651530072582,0.7502781121202172,0.7137360032096874,0.7272011890432942,0.7425858044279096,0.7463044794623742,0.7272031632313383,0.7603349735025868,0.7275824304396434,0.740464843632457,0.7541361723037856
partition,PD-252,19,0.7670906736696211,0.7462067330488382,0.741584600795127,0.7401375059269796,0.7545400663821715,0.7545400663821715,0.7716194964455834,0.7607403707403707,0.7511417679225898,0.7643480472393718,0.7666170166170165,0.7666170166170165
