study,cohort,index,w,ba,f1
seed,PD-252,5,0.5,0.7279133384396542,0.7369306914234451
seed,PD-252,5,0.6,0.719924681766787,0.7343625309870035
seed,PD-252,5,0.7,0.7119360250939197,0.7308436787542478
seed,PD-252,5,0.8,0.712280701754386,0.7381860933687876
seed,PD-252,5,0.9,0.699527665317139,0.7234106402203379
seed,PD-252,5,1.0,0.6195344129554655,0.625648308169817
seed,PD-252,6,0.0,0.7149925228872598,0.7097546983880536
seed,PD-252,6,0.1,0.7203268045373309,0.7171458059731771
seed,PD-252,6,0.2,0.7257322099427362,0.7247688901279596
seed,PD-252,6,0.3,0.7391034759455811,0.7450804317338898
seed,PD-252,6,0.4,0.7341138709559762,0.7414526874385917
seed,PD-252,6,0.5,0.72784221468432,0.736622244354867
seed,PD-252,6,0.6,0.7305449173870227,0.7410163155297601
seed,PD-252,6,0.7,0.7305221213115949,0.7504897094775143
seed,PD-252,6,0.8,0.7178402086296823,0.7411799315361575
seed,PD-252,6,0.9,0.7021592442645075,0.7303485132753424
seed,PD-252,6,1.0,0.6118421052631579,0.611516499524467
seed,PD-252,7,0.0,0.7070977860451546,0.7000735375735376
seed,PD-252,7,0.1,0.7177663493452967,0.7144969730754857
seed,PD-252,7,0.2,0.7250911843017107,0.7259509825644381
seed,PD-252,7,0.3,0.7354150709413869,0.7355720984984371
seed,PD-252,7,0.4,0.7514890396469344,0.7601279769087987
seed,PD-252,7,0.5,0.7485611117190065,0.7608045778120601
seed,PD-252,7,0.6,0.765002553160448,0.7819065060672106
seed,PD-252,7,0.7,0.759300798774483,0.7780725969017108
seed,PD-252,7,0.8,0.7563017470912208,0.7759765787204811
seed,PD-252,7,0.9,0.7065789473684211,0.7313956869100029
seed,PD-252,7,1.0,0.6349190283400808,0.6430448077790387
seed,PD-252,8,0.0,0.7197569026516394,0.7185913097084293
seed,PD-252,8,0.1,0.7301519130466498,0.7279414733362929
seed,PD-252,8,0.2,0.7355573184520552,0.7358970235414924
seed,PD-252,8,0.3,0.7518565123828281,0.754136021872864
seed,PD-252,8,0.4,0.7625250756829705,0.7712331390790432
seed,PD-252,8,0.5,0.7464994346573295,0.7563434672025799
seed,PD-252,8,0.6,0.7407976802713645,0.7522982211531144
seed,PD-252,8,0.7,0.7385107779844622,0.7538331186097211
seed,PD-252,8,0.8,0.7359275267170003,0.761906799519123
seed,PD-252,8,0.9,0.7078609986504724,0.7323856239760234
seed,PD-252,8,1.0,0.6355600539811066,0.6492497893466329
seed,PD-252,9,0.0,0.7104898420687895,0.7116503797111026
seed,PD-252,9,0.1,0.7104898420687895,0.7116503797111026
seed,PD-252,9,0.2,0.7131214210161578,0.7150823604986144
seed,PD-252,9,0.3,0.7158241237188606,0.7190881754312028
seed,PD-252,9,0.4,0.709754896597002,0.7193012569824164
seed,PD-252,9,0.5,0.722852609694715,0.733420591753925
seed,PD-252,9,0.6,0.7281868913447861,0.7418401732834424
seed,PD-252,9,0.7,0.7228298136192872,0.742860208177127
seed,PD-252,9,0.8,0.7128506036400774,0.7369793895307375
seed,PD-252,9,0.9,0.7078609986504724,0.7323856239760234
seed,PD-252,9,1.0,0.6278677462887989,0.639063047983421
seed,PD-252,10,0.0,0.7409855199328883,0.7351818119564066
seed,PD-252,10,0.1,0.7359247911879491,0.7313615469754373
seed,PD-252,10,0.2,0.7440328992960571,0.742358524130454
seed,PD-252,10,0.3,0.7572619177882336,0.762070418210769
seed,PD-252,10,0.4,0.743867855709961,0.7520470626112759
seed,PD-252,10,0.5,0.7409399277820331,0.7531455899089838
seed,PD-252,10,0.6,0.7352381733960682,0.7486907299643055
seed,PD-252,10,0.7,0.7382855527592371,0.7591562397672309
seed,PD-252,10,0.8,0.7359275267170003,0.7598525435087267
seed,PD-252,10,0.9,0.6918353576248313,0.7170401990672881
seed,PD-252,10,1.0,0.6124831309041835,0.6136554198158749
seed,PD-252,11,0.0,0.7362694678484152,0.7354187270853938
seed,PD-252,11,0.1,0.7416037494984863,0.7435341299376388
seed,PD-252,11,0.2,0.7495696100959258,0.7557606600342355
seed,PD-252,11,0.3,0.7522723127986286,0.7603384728312264
seed,PD-252,11,0.4,0.7499854105117263,0.7629361352549757
