cohort,prep,fold,method,ba,f1
UCI-489,quantile,2,A3 families+G+MMD [BA-thr],0.75,0.746031746031746
UCI-489,quantile,2,A3 + record stack [BA-thr],0.75,0.746031746031746
UCI-489,quantile,3,RBF (mean+std),1.0,1.0
UCI-489,quantile,3,paper fused w=0.5,1.0,1.0
UCI-489,quantile,3,record-level -> mean,1.0,1.0
UCI-489,quantile,3,A1 families,1.0,1.0
UCI-489,quantile,3,A2 families+G,1.0,1.0
UCI-489,quantile,3,A3 families+G+MMD,1.0,1.0
UCI-489,quantile,3,A4 families+G+MMD+E,1.0,1.0
UCI-489,quantile,3,A3 + record stack,1.0,1.0
UCI-489,quantile,3,A2 + record stack,1.0,1.0
UCI-489,quantile,3,A3 families+G+MMD [bag8],1.0,1.0
UCI-489,quantile,3,A3 + record stack [bag8],1.0,1.0
UCI-489,quantile,3,paper fused w=0.5 [bag8],1.0,1.0
UCI-489,quantile,3,RBF (mean+std) [BA-thr],1.0,1.0
UCI-489,quantile,3,A3 families+G+MMD [BA-thr],0.9375,0.9372549019607843
UCI-489,quantile,3,A3 + record stack [BA-thr],1.0,1.0
UCI-489,quantile,4,RBF (mean+std),0.875,0.873015873015873
UCI-489,quantile,4,paper fused w=0.5,0.9375,0.9372549019607843
UCI-489,quantile,4,record-level -> mean,0.875,0.873015873015873
UCI-489,quantile,4,A1 families,0.625,0.6190476190476191
UCI-489,quantile,4,A2 families+G,0.625,0.6190476190476191
UCI-489,quantile,4,A3 families+G+MMD,0.75,0.75
UCI-489,quantile,4,A4 families+G+MMD+E,0.75,0.75
UCI-489,quantile,4,A3 + record stack,0.75,0.75
UCI-489,quantile,4,A2 + record stack,0.75,0.75
UCI-489,quantile,4,A3 families+G+MMD [bag8],0.75,0.75
UCI-489,quantile,4,A3 + record stack [bag8],0.75,0.75
UCI-489,quantile,4,paper fused w=0.5 [bag8],0.9375,0.9372549019607843
UCI-489,quantile,4,RBF (mean+std) [BA-thr],0.8125,0.805668016194332
UCI-489,quantile,4,A3 families+G+MMD [BA-thr],0.625,0.6190476190476191
UCI-489,quantile,4,A3 + record stack [BA-thr],0.75,0.7333333333333334
UCI-489,quantile,5,RBF (mean+std),0.8125,0.8117647058823529
UCI-489,quantile,5,paper fused w=0.5,0.8125,0.8117647058823529
UCI-489,quantile,5,record-level -> mean,0.875,0.875
UCI-489,quantile,5,A1 families,0.8125,0.8117647058823529
UCI-489,quantile,5,A2 families+G,0.8125,0.8117647058823529
UCI-489,quantile,5,A3 families+G+MMD,0.8125,0.8117647058823529
UCI-489,quantile,5,A4 families+G+MMD+E,0.8125,0.8117647058823529
UCI-489,quantile,5,A3 + record stack,0.875,0.875
UCI-489,quantile,5,A2 + record stack,0.875,0.875
UCI-489,quantile,5,A3 families+G+MMD [bag8],0.8125,0.8117647058823529
UCI-489,quantile,5,A3 + record stack [bag8],0.875,0.875
UCI-489,quantile,5,paper fused w=0.5 [bag8],0.8125,0.8117647058823529
UCI-489,quantile,5,RBF (mean+std) [BA-thr],0.8125,0.8117647058823529
UCI-489,quantile,5,A3 families+G+MMD [BA-thr],0.8125,0.8117647058823529
UCI-489,quantile,5,A3 + record stack [BA-thr],0.8125,0.8117647058823529
PD-252,standard,1,RBF (mean+std),0.7419028340080972,0.7419028340080972
PD-252,standard,1,paper fused w=0.5,0.6912955465587045,0.7102272727272727
PD-252,standard,1,record-level -> mean,0.715587044534413,0.7046332046332047
PD-252,standard,1,A1 families,0.6497975708502024,0.6192358366271411
PD-252,standard,1,A2 families+G,0.6497975708502024,0.6192358366271411
PD-252,standard,1,A3 families+G+MMD,0.6497975708502024,0.6192358366271411
PD-252,standard,1,A4 families+G+MMD+E,0.6497975708502024,0.6192358366271411
PD-252,standard,1,A3 + record stack,0.7419028340080972,0.7419028340080972
PD-252,standard,1,A2 + record stack,0.7419028340080972,0.7419028340080972
PD-252,standard,1,A3 families+G+MMD [bag8],0.715587044534413,0.7046332046332047
PD-252,standard,1,A3 + record stack [bag8],0.7419028340080972,0.7419028340080972
PD-252,standard,1,paper fused w=0.5 [bag8],0.6781376518218624,0.6912493120528342
PD-252,standard,1,RBF (mean+std) [BA-thr],0.6761133603238867,0.652430713312131
PD-252,standard,1,A3 families+G+MMD [BA-thr],0.6477732793522267,0.5717712914834067
PD-252,standard,1,A3 + record stack [BA-thr],0.597165991902834,0.5546777546777546
PD-252,standard,2,RBF (mean+std),0.6902834008097165,0.6902834008097165
PD-252,standard,2,paper fused w=0.5,0.6781376518218624,0.6912493120528342
PD-252,standard,2,record-level -> mean,0.728744939271255,0.722962962962963
PD-252,standard,2,A1 families,0.7034412955465588,0.7085714285714286
PD-252,standard,2,A2 families+G,0.7034412955465588,0.7085714285714286
PD-252,standard,2,A3 families+G+MMD,0.7034412955465588,0.7085714285714286
PD-252,standard,2,A4 families+G+MMD+E,0.7034412955465588,0.7085714285714286
PD-252,standard,2,A3 + record stack,0.6902834008097165,0.6902834008097165
PD-252,standard,2,A2 + record stack,0.6902834008097165,0.6902834008097165
PD-252,standard,2,A3 families+G+MMD [bag8],0.7034412955465588,0.7085714285714286
PD-252,standard,2,A3 + record stack [bag8],0.6771255060728745,0.6725925925925926
PD-252,standard,2,paper fused w=0.5 [bag8],0.652834008097166,0.6701940035273368
PD-252,standard,2,RBF (mean+std) [BA-thr],0.7408906882591093,0.7166666666666666
PD-252,standard,2,A3 families+G+MMD [BA-thr],0.7267206477732794,0.673773987206823
PD-252,standard,2,A3 + record stack [BA-thr],0.6902834008097165,0.6902834008097165
PD-252,standard,3,RBF (mean+std),0.7258771929824561,0.7258771929824561
PD-252,standard,3,paper fused w=0.5,0.7105263157894737,0.72875226039783
PD-252,standard,3,record-level -> mean,0.7280701754385965,0.7023809523809523
PD-252,standard,3,A1 families,0.7960526315789473,0.7716894977168949
PD-252,standard,3,A2 families+G,0.7960526315789473,0.7716894977168949
PD-252,standard,3,A3 families+G+MMD,0.7675438596491229,0.76
