cohort,partition_seed,weight,method,balanced_accuracy,balanced_accuracy_se,macro_f1,macro_f1_se
PD-252,4,1.0,Adaptive_Subspace_Fusion,0.5972052011525696,0.039022118847950524,0.5811566951164782,0.0374000172076493
PD-252,5,0.0,Adaptive_Subspace_Fusion,0.788611992559361,0.02035008766274773,0.7870464102043049,0.02184535446166978
PD-252,5,0.0,Fused_Grassmann_GSMOTE,0.7568570594886384,0.018948236777688313,0.755456731735378,0.022171475286531035
PD-252,5,0.5,Adaptive_Subspace_Fusion,0.7803497829813619,0.01834050716078865,0.7821674455747194,0.025081236970296593
PD-252,5,0.5,Fused_Grassmann_GSMOTE,0.7621913411387096,0.03217833738346579,0.7616481775692303,0.03176671628477893
PD-252,5,1.0,Fused_Grassmann_GSMOTE,0.7109539701644965,0.02643185937832306,0.7264838220703869,0.02906845111619336
PD-252,5,1.0,Adaptive_Subspace_Fusion,0.638346646241383,0.029754082526301014,0.6234948355431836,0.028086045441211176
PD-252,6,0.0,Adaptive_Subspace_Fusion,0.7802786592260278,0.03716808918371749,0.7826622156238718,0.040252083090856115
PD-252,6,0.0,Fused_Grassmann_GSMOTE,0.7726693292482766,0.025487529726747376,0.7690193914829819,0.02625537334844778
PD-252,6,0.5,Adaptive_Subspace_Fusion,0.7851971404602984,0.033088609445951066,0.7843213323528987,0.036173538495904864
PD-252,6,0.5,Fused_Grassmann_GSMOTE,0.7706559798665061,0.04109397710119579,0.7778034561249663,0.044301233673077804
PD-252,6,1.0,Fused_Grassmann_GSMOTE,0.7101706970128022,0.048158197650755075,0.7283150150935154,0.05116413356677632
PD-252,6,1.0,Adaptive_Subspace_Fusion,0.649810336652442,0.04841252662198044,0.6386423655596166,0.048205130256836114
PD-252,7,0.0,Fused_Grassmann_GSMOTE,0.7674061713535397,0.02405735265217684,0.7579327990466893,0.021288379971512086
PD-252,7,0.0,Adaptive_Subspace_Fusion,0.7599162928110298,0.014353287305085062,0.7576889539191993,0.0048669695849929825
PD-252,7,0.5,Adaptive_Subspace_Fusion,0.7780036108983477,0.010218573805802836,0.7752135151558367,0.0056596178309209376
PD-252,7,0.5,Fused_Grassmann_GSMOTE,0.7627503009081956,0.020487253701625446,0.7671452157613903,0.015899763941786625
PD-252,7,1.0,Fused_Grassmann_GSMOTE,0.7008443666338403,0.03280262609734154,0.7122556060791354,0.03440770249792635
PD-252,7,1.0,Adaptive_Subspace_Fusion,0.6517671517671517,0.023997316928297808,0.6516339352138758,0.02533455564760561
PD-252,8,0.0,Adaptive_Subspace_Fusion,0.7791507094138673,0.031960002025422915,0.7748101106809737,0.03483063901611327
PD-252,8,0.0,Fused_Grassmann_GSMOTE,0.7538096801254695,0.014169583794158926,0.7449935198913025,0.011259634431136666
PD-252,8,1.0,Fused_Grassmann_GSMOTE,0.7180171061750009,0.022295928558520584,0.7296069143039061,0.02123130421149171
PD-252,8,1.0,Adaptive_Subspace_Fusion,0.5869414961520224,0.03764552536369394,0.5748174822090859,0.037348394119714426
PD-252,8,0.5,Adaptive_Subspace_Fusion,0.7745769048400628,0.028374535189998246,0.7793446935483548,0.03453053793364473
PD-252,8,0.5,Fused_Grassmann_GSMOTE,0.7460462486778277,0.020106101639902382,0.7375896917303704,0.014301168142325418
PD-252,9,0.0,Adaptive_Subspace_Fusion,0.7774227668964511,0.024384927783526515,0.779655739598061,0.019921617882031253
PD-252,9,0.0,Fused_Grassmann_GSMOTE,0.7518793084582558,0.020745499896787038,0.7460276314486841,0.014632034479097018
PD-252,9,0.5,Adaptive_Subspace_Fusion,0.7828281723018565,0.02825535232832068,0.7879890729313944,0.024305670014204434
PD-252,9,0.5,Fused_Grassmann_GSMOTE,0.7651794507057665,0.023856319875263328,0.766394671482246,0.020222060073415093
PD-252,9,1.0,Fused_Grassmann_GSMOTE,0.7254130648867491,0.02874603002584806,0.7401588214879354,0.025009668628189232
PD-252,9,1.0,Adaptive_Subspace_Fusion,0.6546832257358574,0.027413270975715633,0.6541526578990322,0.03158575722790473
