cohort,partition_seed,members,method,balanced_accuracy,balanced_accuracy_se,macro_f1,macro_f1_se
UCI-489,18,"4,8,16,32",Subspace_q4,0.85,0.04238956239453292,0.8480897190185116,0.04268415809638899
UCI-489,18,"4,8,16,32",Subspace_q32,0.85,0.04238956239453292,0.8480897190185116,0.04268415809638899
UCI-489,18,"4,8,16,32",Balanced_LogReg,0.8375,0.024999999999999994,0.835643407160435,0.025430294004706054
UCI-489,18,"4,8,16,32",SMOTE_LogReg,0.8375,0.024999999999999994,0.835643407160435,0.025430294004706054
UCI-489,18,"4,8,16,32",Adaptive_Subspace_Fusion,0.8375,0.0318688719599549,0.8355406994106683,0.0320351790720878
UCI-489,18,"4,8,16,32",Subspace_q16,0.825,0.04145780987944249,0.8227956013714527,0.04163895438619918
UCI-489,18,"4,8,16,32",Balanced_LinearSVM,0.7625,0.023385358667337132,0.7599477955824705,0.02290818508228001
UCI-489,18,"8,16,32",Adaptive_Subspace_Fusion,0.825,0.04145780987944249,0.8227956013714527,0.04163895438619918
UCI-489,19,"4,8,16,32",Subspace_q4,0.8625,0.036443449342783124,0.8614612511671336,0.037058312151433646
UCI-489,19,"4,8,16,32",Subspace_q8,0.85,0.046770717334674264,0.8474775740255616,0.048743473328489315
UCI-489,19,"4,8,16,32",Balanced_LogReg,0.85,0.046770717334674264,0.8462582360879575,0.048981486345608845
UCI-489,19,"4,8,16,32",SMOTE_LogReg,0.85,0.046770717334674264,0.8462582360879575,0.048981486345608845
UCI-489,19,"4,8,16,32",Fused_Grassmann_GSMOTE,0.8375,0.04238956239453292,0.8356676003734828,0.043174344708274894
UCI-489,19,"4,8,16,32",Euclidean_RBF_GSMOTE,0.8375,0.046770717334674264,0.8348305152020323,0.0485987182843178
UCI-489,19,"4,8,16,32",Adaptive_Subspace_Fusion,0.8375,0.050775240028974745,0.8343309820554403,0.052758983361459545
UCI-489,19,"4,8,16,32",Subspace_q16,0.825,0.049999999999999996,0.8216839232319109,0.05182939987208581
UCI-489,19,"4,8,16,32",Subspace_q32,0.825,0.049999999999999996,0.8216839232319109,0.05182939987208581
UCI-489,19,"4,8,16,32",Balanced_LinearSVM,0.775,0.050775240028974745,0.768216619981326,0.054658734463244485
UCI-489,19,"8,16,32",Adaptive_Subspace_Fusion,0.8375,0.04238956239453292,0.8356676003734828,0.043174344708274894
PD-252,1,"4,8,16,32,64",Subspace_q32,0.7723018565123828,0.0314578058952059,0.7719969778917146,0.02891912316311831
PD-252,1,"4,8,16,32,64",Subspace_q16,0.759275267170004,0.038681121452169835,0.7573235867446394,0.03584480433103386
PD-252,1,"4,8,16,32,64",Adaptive_Subspace_Fusion,0.751511835722362,0.03369889386840219,0.7522068881908698,0.03237990009746329
PD-252,1,"4,8,16,32,64",Subspace_q64,0.7512154867418026,0.030392280989121674,0.7564926713668132,0.029092875309141005
PD-252,1,"4,8,16,32,64",Fused_Grassmann_GSMOTE,0.7382828172301857,0.04763585138178138,0.7274909774268845,0.042440153527927335
PD-252,1,"4,8,16,32,64",Euclidean_RBF_GSMOTE,0.7373308531203268,0.04327128922233196,0.7091554722385189,0.03469510499437958
PD-252,1,"4,8,16,32,64",Subspace_q4,0.7335895612211403,0.03921424222476324,0.7244109147060691,0.0355884116772571
PD-252,1,"4,8,16,32,64",Subspace_q8,0.7303652843126528,0.03781942590085683,0.7279157213156291,0.033646037332047345
