cohort,partition_seed,variant,method,balanced_accuracy,balanced_accuracy_se,macro_f1,macro_f1_se
PD-252,13,with_gender,Adaptive_Subspace_Fusion,0.7760094102199366,0.035930576266345875,0.7693701137985107,0.023014694983557703
PD-252,13,with_gender,Balanced_LinearSVM,0.7239513805303279,0.01730129686356035,0.7260110489321014,0.0124190803133861
PD-252,13,with_gender,Balanced_LogReg,0.7290121092752672,0.02035038161131598,0.7285360262415057,0.01532458802712017
PD-252,13,with_gender,Balanced_RandomForest,0.6166894627420944,0.01422804620861099,0.6279976993633528,0.01905246334137297
PD-252,13,with_gender,Euclidean_RBF_GSMOTE,0.7644299157457052,0.022648759875373226,0.7503483674536306,0.021720642130997673
PD-252,13,with_gender,Fused_Grassmann_GSMOTE,0.7308640624430098,0.015687128632334124,0.7303818755794401,0.011331055313860772
PD-252,13,with_gender,PLS_DA,0.696822227085385,0.027520536220065527,0.7003821093821093,0.027764679755060653
PD-252,13,with_gender,SMOTE_LogReg,0.7290121092752672,0.02035038161131598,0.7285360262415057,0.01532458802712017
PD-252,13,without_gender,Adaptive_Subspace_Fusion,0.7600548929496298,0.025129584492802226,0.7584725680257245,0.016778444181490517
PD-252,13,without_gender,Balanced_LinearSVM,0.7298555640660902,0.011200832729971778,0.7356433026433027,0.008552781959665188
PD-252,13,without_gender,Balanced_LogReg,0.7373454426086006,0.01526260873951048,0.7367864783210717,0.011559847477259036
PD-252,13,without_gender,Balanced_RandomForest,0.6270133493817706,0.01784000097620892,0.6425795219800031,0.02447139140682057
PD-252,13,without_gender,Euclidean_RBF_GSMOTE,0.7413529926687821,0.016600327869265193,0.7320943757100569,0.017654829355389843
PD-252,13,without_gender,Fused_Grassmann_GSMOTE,0.7362694678484152,0.018257100095605137,0.7377736719343764,0.015205562293039425
PD-252,13,without_gender,PLS_DA,0.696822227085385,0.027520536220065527,0.7003821093821093,0.027764679755060653
PD-252,13,without_gender,SMOTE_LogReg,0.7290121092752672,0.02035038161131598,0.7285360262415057,0.01532458802712017
PD-252,14,with_gender,Adaptive_Subspace_Fusion,0.789616843564212,0.023102810224023218,0.7845225866213978,0.024999247922926522
PD-252,14,with_gender,Balanced_LinearSVM,0.7555522121311594,0.028945269190166663,0.7630622001794263,0.026710247551673276
PD-252,14,with_gender,Balanced_LogReg,0.7629709669183353,0.03861067220015585,0.75989194701336,0.027447451455411984
PD-252,14,with_gender,Balanced_RandomForest,0.6567777291461502,0.023290032501636918,0.6803732762908982,0.029122875663929234
